id,pop,lat,lon,id2,Date,city,Elevation,plus_code,Capture_method,sex,Weiht_rams,body_width,body_circumference,Wing,Tarsus,wingspan,Beak_length,length_body,Colour_Secondary_feathers,Colour_Beak,Colour_Eye_circle,Colour_Back,Colour_Chest
thmm015,Dhofar,18.6170625,54.0468125,324,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Male,134.5,4,12.5,21,4,44.5,2,26,white,yellow,yellow,brown_grey,brown_grey
thmm006,Dhofar,18.6170625,54.0468125,315,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Female,131.7,4,13,30.5,4,43,2,25.5,white,yellow,yellow,brown_grey,brown_grey
thmm007,Dhofar,18.6170625,54.0468125,316,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Male,123.95,4,12,23,4,45.5,2,26.5,white,yellow,yellow,brown_grey,brown_grey
thmm008,Dhofar,18.6170625,54.0468125,317,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Female,155.35,4,13.5,21,4,43,2.1,25,white,yellow,yellow,brown_grey,brown_grey
thmm009,Dhofar,18.6170625,54.0468125,318,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Male,108.38,4,12,21,4,42,2,24.5,white,yellow,yellow,brown_grey,brown_grey
thmm010,Dhofar,18.6170625,54.0468125,319,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Male,123.9,4,13,22,4,44,2,25,white,yellow,yellow,brown_grey,brown_grey
thmm011,Dhofar,18.6170625,54.0468125,320,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Female,114.93,4,13,20.5,4,41.5,2,24.5,white,yellow,yellow,brown_grey,brown_grey
thmm012,Dhofar,18.6170625,54.0468125,321,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Unknown,117.29,4,11.5,21,4,43,2.2,26,white,yellow,yellow,brown_grey,brown_grey
thmm013,Dhofar,18.6170625,54.0468125,322,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Male,138.55,4,13,21,4,44,2,27,white,yellow,yellow,brown_grey,brown_grey
thmm017,Dhofar,18.6170625,54.0468125,326,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Female,112.9,4,11,21,4,42,2.2,25,white,yellow,yellow,brown_grey,brown_grey
NBM070,North Batinah,24.5620625,56.5744375,101,12/27/23,Liwa,1,7HPRHH6F+RQG,Shoot,Male,114.14,4,12,22,4,44,2,26,white,yellow,yellow,brown_grey,brown_grey
NBM071,North Batinah,24.5620625,56.5744375,102,12/27/23,Liwa,1,7HPRHH6F+RQG,Shoot,Female,115.13,4,12,19.5,4,41.5,2,25,white,yellow,yellow,brown_grey,brown_grey
thmm018,Dhofar,18.6170625,54.0468125,327,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Male,155,4,11,22,4,45,2,27,white,yellow,yellow,brown_grey,brown_grey
thmm019,Dhofar,18.6170625,54.0468125,328,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Female,122.86,4,12,21,4,43.5,2.1,26,white,yellow,yellow,brown_grey,brown_grey
thmm020,Dhofar,18.6170625,54.0468125,329,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Unknown,97.6,4,12,18,4,39,2,24,white,yellow,yellow,brown_grey,brown_grey
thmm021,Dhofar,18.6170625,54.0468125,330,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Female,119.7,4,12,21,4,41.8,2,25,white,yellow,yellow,brown_grey,brown_grey
thmm022,Dhofar,18.6170625,54.0468125,331,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Male,143,4,13,21,4,45,2,25.5,white,yellow,yellow,brown_grey,brown_grey
thmm023,Dhofar,18.6170625,54.0468125,332,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Male,164,4,13,21,4,45,2,27,white,yellow,yellow,brown_grey,brown_grey
thmm024,Dhofar,18.6170625,54.0468125,333,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Female,124,4,12,22,4,43,2,26,white,yellow,yellow,brown_grey,brown_grey
thmm025,Dhofar,18.6170625,54.0468125,334,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Female,121.88,4,12,21,4,44,2,26,white,yellow,yellow,brown_grey,brown_grey
